Provinsi,Timbulan Sampah Tahunan(ton)
Jawa Tengah, 5614155,20
Jawa Barat,4599600,54
Jawa Timur,3999800,31
DKI Jakarta,3083437,85
Sumatera Utara,2008268,06
Sulawesi Selatan,1272531,85
Banten,926133,24
Bali,915482,47
Sumatera Selatan,872819,55
Kalimantan Selatan,782592,39
Lampung,688594,95
Riau,685913,3
Kalimantan Timur,666303,38
Sumatera Barat,638817,41
DI Yogyakarta, 586267,37
Kalimantan Barat,437814
Sulawesi Utara,435870,55
Nusa Tenggara Barat,301916,64
Jambi,287374,47
Aceh,268786,55
Kalimantan Tengah,226186,56
Papua,211039,35
Sulawesi Tengah,207904,73
Kepulauan Bangka Belitung,180347,78
Sulawesi Barat,94114,89
Nusa Tenggara Timur,82019,51
Gorontalo,72920,57
Maluku Utara,68918,97
Papua Barat,66573,05
Bengkulu,60285,04
Sulawesi Tenggara,20340,57
Maluku,19611,92
Kalimantan Utara,15260,25
