Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Harian(ton);Timbulan Sampah Tahunan(ton)
2021;Aceh;Kab. Aceh Barat;100,29;36.605,67
2021;Aceh;Kab. Pidie;162,31;59.243,73
2021;Aceh;Kab. Gayo Lues;40,43;14.757,24
2021;Aceh;Kab. Aceh Jaya;46,58;17.001,52
2021;Aceh;Kota Banda Aceh;248,67;90.765,86
2021;Aceh;Kota Langsa;92,83;33.883,32
2021;Aceh;Kota Subulussalam;45,29;16.529,21
2021;Sumatera Utara;Kab. Tapanuli Tengah;182,59;66.644,80
2021;Sumatera Utara;Kab. Tapanuli Utara;128,22;46.799,13
2021;Sumatera Utara;Kab. Langkat;519,69;189.685,76
2021;Sumatera Utara;Kab. Karo;226,8;82.781,59
2021;Sumatera Utara;Kab. Deli Serdang;1.118,16;408.129,86
2021;Sumatera Utara;Kab. Simalungun;519,06;189.456,90
2021;Sumatera Utara;Kab. Asahan;466,58;170.300,09
2021;Sumatera Utara;Kab. Dairi;123,51;45.079,54
2021;Sumatera Utara;Kab. Samosir;93,83;34.248,22
2021;Sumatera Utara;Kota Medan;1.767,16;645.012,56
2021;Sumatera Utara;Kota Pematang Siantar;233,02;85.052,00
2021;Sumatera Utara;Kota Tebing Tinggi;123,5;45.077,61
2021;Sumatera Barat;Kab. Sijunjung;96,37;35.174,48
2021;Sumatera Barat;Kab. Tanah Datar;128,24;46.806,83
2021;Sumatera Barat;Kab. Agam;214,83;78.412,95
2021;Sumatera Barat;Kab. Lima Puluh Kota;154,23;56.295,41
2021;Sumatera Barat;Kab. Pasaman;121,24;44.253,04
2021;Sumatera Barat;Kab. Dharmasraya;102,5;37.411,62
2021;Sumatera Barat;Kab. Solok Selatan;73,94;26.988,10
2021;Sumatera Barat;Kota Padang;639,41;233.385,96
2021;Sumatera Barat;Kota Solok;53,87;19.663,02
2021;Sumatera Barat;Kota Sawahlunto;18,75;6.843,52
2021;Sumatera Barat;Kota Padang Panjang;48;17.519,42
2021;Sumatera Barat;Kota Payakumbuh;98,8;36.063,06
2021;Riau;Kab. Bengkalis;259,01;94.536,90
2021;Riau;Kab. Indragiri Hilir;299,93;109.472,70
2021;Riau;Kab. Siak;191,07;69.739,82
2021;Riau;Kota Pekanbaru;967,49;353.133,89
2021;Riau;Kota Dumai;161,73;59.029,99
2021;Jambi;Kab. Merangin;198,75;72.545,03
2021;Jambi;Kab. Bungo;155,4;56.722,46
2021;Jambi;Kota Jambi;433,17;158.106,98
2021;Sumatera Selatan;Kab. Ogan Komering Ulu;150,52;54.938,49
2021;Sumatera Selatan;Kab. Muara Enim;406,74;148.459,04
2021;Sumatera Selatan;Kab. Lahat;307,84;112.361,75
2021;Sumatera Selatan;Kab. Musi Banyuasin;248,88;90.842,08
2021;Sumatera Selatan;Kota Palembang;1.180,25;430.791,65
2021;Sumatera Selatan;Kota Prabumulih;97,06;35.426,54
2021;Bengkulu;Kab. Seluma;106,76;38.966,12
2021;Bengkulu;Kab. Kepahiang;58,41;21.318,92
2021;Lampung;Kab. Lampung Tengah;473,17;172.707,86
2021;Lampung;Kab. Way Kanan;191,88;70.036,49
2021;Lampung;Kab. Pesawaran;196,97;71.892,44
2021;Lampung;Kab. Pringsewu;162,73;59.396,16
2021;Lampung;Kota Bandar Lampung;757,94;276.649,16
2021;Lampung;Kota Metro;103,87;37.912,84
2021;Kepulauan Bangka Belitung;Kab. Bangka;130,51;47.634,69
2021;Kepulauan Bangka Belitung;Kab. Belitung;72,69;26.533,31
2021;Kepulauan Bangka Belitung;Kab. Bangka Selatan;80,13;29.247,45
2021;Kepulauan Bangka Belitung;Kab. Belitung Timur;50,78;18.532,95
2021;Kepulauan Bangka Belitung;Kota Pangkal Pinang;160;58.399,38
2021;DKI Jakarta;Kab. Adm. Kep. Seribu;17,62;6.429,48
2021;DKI Jakarta;Kota Adm. Jakarta Pusat;847,39;309.298,18
2021;DKI Jakarta;Kota Adm. Jakarta Utara;1.354,67;494.454,86
2021;DKI Jakarta;Kota Adm. Jakarta Barat;1.997,51;729.092,61
2021;DKI Jakarta;Kota Adm. Jakarta Selatan;1.937,54;707.201,35
2021;DKI Jakarta;Kota Adm. Jakarta Timur;2.293,04;836.961,37
2021;Jawa Barat;Kab. Sukabumi;1.090,18;397.915,70
2021;Jawa Barat;Kab. Bandung;1.268,33;462.939,17
2021;Jawa Barat;Kab. Garut;1.120,06;408.821,79
2021;Jawa Barat;Kab. Ciamis;572,1;208.818,25
2021;Jawa Barat;Kab. Kuningan;467,07;170.482,16
2021;Jawa Barat;Kab. Cirebon;1.237,12;451.549,60
2021;Jawa Barat;Kab. Sumedang;442,36;161.462,89
2021;Jawa Barat;Kab. Indramayu;1.102,62;402.455,25
2021;Jawa Barat;Kota Bogor;673,76;245.922,33
2021;Jawa Barat;Kota Sukabumi;180,26;65.795,65
2021;Jawa Barat;Kota Bandung;1.592,55;581.280,03
2021;Jawa Barat;Kota Cirebon;204,47;74.631,55
2021;Jawa Barat;Kota Bekasi;2.375,99;867.236,75
2021;Jawa Barat;Kota Cimahi;274,77;100.289,42
2021;Jawa Tengah;Kab. Cilacap;943,59;344.409,04
2021;Jawa Tengah;Kab. Banyumas;535,23;195.357,75
2021;Jawa Tengah;Kab. Purbalingga;505,71;184.585,06
2021;Jawa Tengah;Kab. Purworejo;288,82;105.420,18
2021;Jawa Tengah;Kab. Wonosobo;363;132.496,46
2021;Jawa Tengah;Kab. Magelang;681,65;248.800,43
2021;Jawa Tengah;Kab. Boyolali;290,85;106.159,34
2021;Jawa Tengah;Kab. Klaten;590,3;215.458,83
2021;Jawa Tengah;Kab. Sukoharjo;359,45;131.200,56
